IO NO,UNIT ,STYLE PIC,StyleNo,StyleDesc,BaseFabricQuality,ShipmentDate,PONo,Country,Combo,*7,*8,*10,*12,*14,*16,*18,Total,G.TOTAL,REMAKRS
272,,,J6RQ05KAD74,HOODED LS ACTIVE TOP,FRENCH TERRY/50% ORGANIC COTTON 50% COTTON/340 GSM,2025-09-07 00:00:00,MA01-2025-02675,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,165,288,360,391,343,218,,1765,,
272,,,J6RQ05KAD74,HOODED LS ACTIVE TOP,FRENCH TERRY/50% ORGANIC COTTON 50% COTTON/340 GSM,2025-09-07 00:00:00,MA02-2025-01768,NETHERLANDS(RTL),PURE WHITE-G011/11-4001 TCX,18,35,36,36,16,15,,156,3185,
272,,,J6RQ05KAD74,HOODED LS ACTIVE TOP,FRENCH TERRY/50% ORGANIC COTTON 50% COTTON/340 GSM,2025-09-07 00:00:00,MA03-2025-02321,POLAND,PURE WHITE-G011/11-4001 TCX,11,25,48,52,43,37,,216,,
272,,,J6RQ05KAD74,HOODED LS ACTIVE TOP,FRENCH TERRY/50% ORGANIC COTTON 50% COTTON/340 GSM,2025-09-07 00:00:00,MA03-2025-02323,ITALY,PURE WHITE-G011/11-4001 TCX,6,14,26,28,22,20,,116,,
,,,,,,,,,SUB TOTAL,200,362,470,507,424,290,,2253,,
272,,,J6RQ05KAD74,HOODED LS ACTIVE TOP,FRENCH TERRY/50% ORGANIC COTTON 50% COTTON/340 GSM,2025-09-07 00:00:00,MA02-2025-01768,NETHERLANDS(RTL),SECRET BLUE-G7HR/19-4111 TCX,6,11,11,11,9,7,,55,,
,,,J6RQ05KAD74,HOODED LS ACTIVE TOP,FRENCH TERRY/50% ORGANIC COTTON 50% COTTON/340 GSM,2025-09-07 00:00:00,MA01-2025-02675,NETHERLANDS (CLL),SECRET BLUE-G7HR/19-4111 TCX,58,108,131,146,142,103,,688,,
272,,,J6RQ05KAD74,HOODED LS ACTIVE TOP,FRENCH TERRY/50% ORGANIC COTTON 50% COTTON/340 GSM,2025-09-07 00:00:00,MA03-2025-02321,POLAND,SECRET BLUE-G7HR/19-4111 TCX,6,14,28,30,25,21,,124,,
272,,,J6RQ05KAD74,HOODED LS ACTIVE TOP,FRENCH TERRY/50% ORGANIC COTTON 50% COTTON/340 GSM,2025-09-07 00:00:00,MA03-2025-02323,ITALY,SECRET BLUE-G7HR/19-4111 TCX,3,8,15,16,12,11,,65,,
,,,,,,,,,SUB TOTAL,73,141,185,203,188,142,,932,,
IO NO,UNIT ,STYLE PIC,StyleNo,StyleDesc,BaseFabricQuality,ShipmentDate,PONo,Country,Combo,*7,*8,*10,*12,*14,*16,*18,Total,G.TOTAL,REMAKRS
274,,,J81I15J1311,CROPPED SS TSHIRT_CORE,LYCRA JERSEY/95% ORGANIC COTTON 5% ELASTANE/180 GSM,2025-09-07 00:00:00,MA01-2025-02675,NETHERLANDS (CLL),JET BLACK A996-JBLK,13,74,83,92,89,98,,449,,
274,,,J81I15J1311,CROPPED SS TSHIRT_CORE,LYCRA JERSEY/95% ORGANIC COTTON 5% ELASTANE/180 GSM,2025-09-07 00:00:00,MA01-2025-02675,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,12,93,109,132,131,123,,600,,
274,,,J81I15J1311,CROPPED SS TSHIRT_CORE,LYCRA JERSEY/95% ORGANIC COTTON 5% ELASTANE/180 GSM,2025-09-07 00:00:00,MA01-2025-02675,NETHERLANDS (CLL),BLACK AND RED BLOCK-P9BA,,40,44,48,48,43,,223,,
274,,,J81I15J1311,CROPPED SS TSHIRT_CORE,LYCRA JERSEY/95% ORGANIC COTTON 5% ELASTANE/180 GSM,2025-09-07 00:00:00,MA03-2025-02321,POLAND,BLACK AND RED BLOCK-P9BA,9,23,35,36,27,20,,150,1503,
274,,,J81I15J1311,CROPPED SS TSHIRT_CORE,LYCRA JERSEY/95% ORGANIC COTTON 5% ELASTANE/180 GSM,2025-09-07 00:00:00,MA03-2025-02323,POLAND,BLACK AND RED BLOCK-P9BA,5,13,19,19,14,11,,81,,
,,,,,,,,,SUB TOTAL,39,243,290,327,309,295,,1503,,
IO NO,UNIT ,STYLE PIC,StyleNo,StyleDesc,BaseFabricQuality,ShipmentDate,PONo,Country,Combo,*7,*8,*10,*12,*14,*16,*18,Total,G.TOTAL,REMAKRS
285,,,L6RI16K8HM4,OVERSIZE SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,2025-09-07 00:00:00,IN01-2025-00081,INDIA,PURE WHITE-G011/11-4001 TCX,12,12,12,12,12,12,12,84,,
285,,,L6RI16K8HM4,OVERSIZE SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,2025-09-07 00:00:00,MA01-2025-02675,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,64,187,235,263,236,194,90,1269,1552,
285,,,L6RI16K8HM4,OVERSIZE SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,2025-09-07 00:00:00,MA02-2025-01768,NETHERLANDS(RTL),PURE WHITE-G011/11-4001 TCX,6,11,11,11,6,6,,51,,
285,,,L6RI16K8HM4,OVERSIZE SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,2025-09-07 00:00:00,SP01-2025-00952,SINGAPORE,PURE WHITE-G011/11-4001 TCX,6,24,37,38,25,18,,148,,
,,,,,,,,,SUB TOTAL,88,234,295,324,279,230,102,1552,,
IO NO,UNIT ,STYLE PIC,StyleNo,StyleDesc,BaseFabricQuality,ShipmentDate,PONo,Country,Combo,*7,*8,*10,*12,*14,*16,*18,Total,G.TOTAL,REMAKRS
286,,,L6RI25KC484,GMT DYE SS T-SHIRT_CEREMONY,JACQUARD JERSEY/50% ORGANIC COTTON 50% COTTON/205 GSM,2025-09-07 00:00:00,IN01-2025-00081,INDIA,JET BLACK A996-JBLK,12,12,12,12,12,12,12,84,340,
