DocDate,PODate,ExCountry,CustomerName,BuyerDivision,MerchandiserName,StyleNo,StyleDesc,BaseFabricQuality,Season,ShipmentDate,DocNo,Images,PONo,Country,Combo,Column_Id,SizeGroupCode,Size,OrderQty
6/6/2025,6/6/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,L6RI25KC484,GMT DYE SS T-SHIRT_CEREMONY,JACQUARD JERSEY/50% ORGANIC COTTON 50% COTTON/205 GSM,PRESPRING-2026,7/9/2025,ESS-APP-SO-2526-286,,IN01-2025-00081,INDIA,JET BLACK A996-JBLK,3.0,*7-16,*10,12
6/6/2025,6/6/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,L6RI25KC484,GMT DYE SS T-SHIRT_CEREMONY,JACQUARD JERSEY/50% ORGANIC COTTON 50% COTTON/205 GSM,PRESPRING-2026,7/9/2025,ESS-APP-SO-2526-286,,IN01-2025-00081,INDIA,VINO-G577/19-1724 TCX,3.0,*7-16,*10,12
6/6/2025,6/6/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI30KCNQ4,BATWING SS T-SHIRT,HEAVY JERSEY/50% ORGANIC COTTON 50% COTTON/210 GSM,PRESPRING-2026,7/9/2025,ESS-APP-SO-2526-261,,IN01-2025-00093,INDIA,SECRET BLUE-G7HR/19-4111 TCX,3.0,*7-16,*10,12
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI29KBZP4,RIB LS T-SHIRT,LYCRA DURBY RIB/50% ORGANIC COTTON 46% COTTON 4% LYCRA/230 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-165,,IT-50349,CANADA (WLS),JET BLACK A996-JBLK,3.0,*7-16,*10,11
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI06K6YW4,CROP SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-162,,MA01-2025-02031,NETHERLANDS (CLL),BLOOMING AZALEA-A61T/15-2213 TCX,3.0,*7-16,*10,333
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI06K6YW4,CROP SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-162,,MA01-2025-02031,NETHERLANDS (CLL),CHILI RED-G532/19-1557 TCX,3.0,*7-16,*10,247
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI06K6YW4,CROP SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-162,,MA01-2025-02031,NETHERLANDS (CLL),JET BLACK A996-JBLK,3.0,*7-16,*10,170
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI06K6YW4,CROP SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-162,,MA01-2025-02031,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,3.0,*7-16,*10,231
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI10K6YW4,SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-163,,MA01-2025-02031,NETHERLANDS (CLL),BLUSHED BRIDE-G62O/12-1310 TCX,3.0,*7-16,*10,171
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI10K6YW4,SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-163,,MA01-2025-02031,NETHERLANDS (CLL),JET BLACK A996-JBLK,3.0,*7-16,*10,334
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI10K6YW4,SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-163,,MA01-2025-02031,NETHERLANDS (CLL),LIGHT BLUE SKY-A732/15-4031 TCX,3.0,*7-16,*10,230
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI10K6YW4,SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-163,,MA01-2025-02031,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,3.0,*7-16,*10,922
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI10K6YW4,SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-163,,MA01-2025-02031,NETHERLANDS (CLL),SECRET BLUE-G7HR/19-4111 TCX,3.0,*7-16,*10,370
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI27KB020,RIB SS T-SHIRT,Y/D DURBY RIB/100% COTTON/265 GSM,PRESPRING-2026,23/8/2025,ESS-APP-SO-2526-164,,MA01-2025-02031,NETHERLANDS (CLL),RED SECRET PINK ST- ST56,3.0,*7-16,*10,150
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI27KB020,RIB SS T-SHIRT,Y/D DURBY RIB/100% COTTON/265 GSM,PRESPRING-2026,23/8/2025,ESS-APP-SO-2526-164,,MA01-2025-02031,NETHERLANDS (CLL),STRIPE WHITE NAVY SI- SWNS,3.0,*7-16,*10,170
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI29KBZP4,RIB LS T-SHIRT,LYCRA DURBY RIB/50% ORGANIC COTTON 46% COTTON 4% LYCRA/230 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-165,,MA01-2025-02031,NETHERLANDS(RTL),BLOOMING AZALEA-A61T/15-2213 TCX,3.0,*7-16,*10,77
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI29KBZP4,RIB LS T-SHIRT,LYCRA DURBY RIB/50% ORGANIC COTTON 46% COTTON 4% LYCRA/230 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-165,,MA01-2025-02031,NETHERLANDS(RTL),JET BLACK A996-JBLK,3.0,*7-16,*10,214
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI29KBZP4,RIB LS T-SHIRT,LYCRA DURBY RIB/50% ORGANIC COTTON 46% COTTON 4% LYCRA/230 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-165,,MA01-2025-02031,NETHERLANDS(RTL),PURE WHITE-G011/11-4001 TCX,3.0,*7-16,*10,259
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI29KBZP4,RIB LS T-SHIRT,LYCRA DURBY RIB/50% ORGANIC COTTON 46% COTTON 4% LYCRA/230 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-165,,MA01-2025-02031,NETHERLANDS(RTL),SECRET BLUE-G7HR/19-4111 TCX,3.0,*7-16,*10,140
6/6/2025,6/6/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,K6RQ03KAD74,LS ACTIVE TOP,FRENCH TERRY/50% ORGANIC COTTON 50% COTTON/340 GSM,PRESPRING-2026,7/9/2025,ESS-APP-SO-2526-280,,MA03-2025-02323,ITALY,PURE WHITE-G011/11-4001 TCX,7.0,*3-6-6X7,*2,56
6/6/2025,6/6/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,N0BI26I3Z00,LS T-SHIRT,SINGLE JERSEY/100% COTTON/180 GSM,PRESPRING-2026,7/9/2025,ESS-APP-SO-2526-289,,MA03-2025-02323,INDIA,TRUE WHITE A000-TWHT,7.0,*3-6-6X7,*2,51
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,K6RI07K6YW4,HIGH LOW DIP DYE SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-168,,MX01-2025-01008,MEXICO (DIR),PINK DEEP DYE-F69M,7.0,*3-6-6X7,*2,194
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,K6RI10K6YW4,HIGH LOW SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-171,,MX01-2025-01009,MEXICO (DIR),PURE WHITE-G011/11-4001 TCX,7.0,*3-6-6X7,*2,194
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,K6RI07K6YW4,HIGH LOW DIP DYE SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-168,,SP01-2025-00724,SINGAPORE,PINK DEEP DYE-F69M,7.0,*3-6-6X7,*2,9
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,K6RI09K6YW4,SS T SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-169,,SP01-2025-00724,SINGAPORE,CHILI RED-G532/19-1557 TCX,7.0,*3-6-6X7,*2,11
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,K6RI09K6YW4,SS T SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-169,,SP01-2025-00724,SINGAPORE,PURE WHITE-G011/11-4001 TCX,7.0,*3-6-6X7,*2,14
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,K6RI10K6YW4,HIGH LOW SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-171,,SP01-2025-00724,SINGAPORE,PURE WHITE-G011/11-4001 TCX,7.0,*3-6-6X7,*2,13
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,L6RI02K8HM4,SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-177,,MA01-2025-02031,NETHERLANDS (CLL),JET BLACK A996-JBLK,3.0,*7-16,*10,147
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,L6RI02K8HM4,SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-177,,MA01-2025-02031,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,3.0,*7-16,*10,70
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,L6RI02K8HM4,SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-177,,MA01-2025-02031,NETHERLANDS (CLL),SPICY RED-G5D7/18-1657 TCX,3.0,*7-16,*10,61
